id,stem,category,sub_category,type,options,correct_answer,explanation,rationales,difficulty,references
11,"Before administering any medication, the nurse should:",safe-and-effective-care,,multiple-choice,"[{""id"": ""A"", ""text"": ""Ask the patient their name and date of birth.""}, {""id"": ""B"", ""text"": ""Check the medication expiration date.""}, {""id"": ""C"", ""text"": ""Verify the medication order with the MAR.""}, {""id"": ""D"", ""text"": ""All of the above.""}]","""D""",All three actions are essential steps in medication administration to ensure patient safety.,"{""A"": ""All three actions are essential steps in medication administration to ensure patient safety."", ""B"": ""All three actions are essential steps in medication administration to ensure patient safety."", ""C"": ""All three actions are essential steps in medication administration to ensure patient safety."", ""D"": ""All three actions are essential steps in medication administration to ensure patient safety.""}",1,
12,A patient is receiving oxygen via a nasal cannula.  What is the maximum flow rate typically used with a nasal cannula?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""10 L/min""}, {""id"": ""B"", ""text"": ""6 L/min""}, {""id"": ""C"", ""text"": ""15 L/min""}, {""id"": ""D"", ""text"": ""2 L/min""}]","""B""","Higher flow rates with nasal cannulas can cause nasal dryness and irritation, and may not increase oxygen saturation significantly.","{""A"": ""Higher flow rates with nasal cannulas can cause nasal dryness and irritation, and may not increase oxygen saturation significantly."", ""B"": ""Higher flow rates with nasal cannulas can cause nasal dryness and irritation, and may not increase oxygen saturation significantly."", ""C"": ""Higher flow rates with nasal cannulas can cause nasal dryness and irritation, and may not increase oxygen saturation significantly."", ""D"": ""Higher flow rates with nasal cannulas can cause nasal dryness and irritation, and may not increase oxygen saturation significantly.""}",2,
13,A priority assessment for a postoperative patient is:,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Pain level""}, {""id"": ""B"", ""text"": ""Respiratory status""}, {""id"": ""C"", ""text"": ""Wound drainage""}, {""id"": ""D"", ""text"": ""All of the above""}]","""D""",All three are crucial for postoperative patient safety and recovery.,"{""A"": ""All three are crucial for postoperative patient safety and recovery."", ""B"": ""All three are crucial for postoperative patient safety and recovery."", ""C"": ""All three are crucial for postoperative patient safety and recovery."", ""D"": ""All three are crucial for postoperative patient safety and recovery.""}",1,
51,What is the best way to clean a new wound?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Use hydrogen peroxide.""}, {""id"": ""B"", ""text"": ""Use soap and water.""}, {""id"": ""C"", ""text"": ""Use an antiseptic solution.""}, {""id"": ""D"", ""text"": ""Leave the wound uncovered to air dry.""}]","""B""",Soap and water are the best way to clean a new wound to minimize infection.,"{""A"": ""Soap and water are the best way to clean a new wound to minimize infection."", ""B"": ""Soap and water are the best way to clean a new wound to minimize infection."", ""C"": ""Soap and water are the best way to clean a new wound to minimize infection."", ""D"": ""Soap and water are the best way to clean a new wound to minimize infection.""}",1,
14,Signs and symptoms of hyperthyroidism include:,physiological-integrity,,multiple-select,"[{""id"": ""A"", ""text"": ""Weight loss""}, {""id"": ""B"", ""text"": ""Bradycardia""}, {""id"": ""C"", ""text"": ""Heat intolerance""}, {""id"": ""D"", ""text"": ""Constipation""}, {""id"": ""E"", ""text"": ""Tremors""}, {""id"": ""F"", ""text"": ""Goiter""}]","[""A"", ""C"", ""E"", ""F""]","Hyperthyroidism causes increased metabolism, leading to weight loss, heat intolerance, and tremors.  A goiter may also be present.  Bradycardia and constipation are associated with hypothyroidism.","{""A"": ""Hyperthyroidism causes increased metabolism, leading to weight loss, heat intolerance, and tremors.  A goiter may also be present.  Bradycardia and constipation are associated with hypothyroidism."", ""B"": ""Hyperthyroidism causes increased metabolism, leading to weight loss, heat intolerance, and tremors.  A goiter may also be present.  Bradycardia and constipation are associated with hypothyroidism."", ""C"": ""Hyperthyroidism causes increased metabolism, leading to weight loss, heat intolerance, and tremors.  A goiter may also be present.  Bradycardia and constipation are associated with hypothyroidism."", ""D"": ""Hyperthyroidism causes increased metabolism, leading to weight loss, heat intolerance, and tremors.  A goiter may also be present.  Bradycardia and constipation are associated with hypothyroidism."", ""E"": ""Hyperthyroidism causes increased metabolism, leading to weight loss, heat intolerance, and tremors.  A goiter may also be present.  Bradycardia and constipation are associated with hypothyroidism."", ""F"": ""Hyperthyroidism causes increased metabolism, leading to weight loss, heat intolerance, and tremors.  A goiter may also be present.  Bradycardia and constipation are associated with hypothyroidism.""}",2,
15,A patient with a urinary catheter should have their intake and output monitored closely.  Why is this important?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""To ensure adequate hydration.""}, {""id"": ""B"", ""text"": ""To detect urinary tract infections.""}, {""id"": ""C"", ""text"": ""To monitor for fluid balance.""}, {""id"": ""D"", ""text"": ""All of the above.""}]","""D""",Accurate I&O monitoring is crucial for all three reasons.,"{""A"": ""Accurate I&O monitoring is crucial for all three reasons."", ""B"": ""Accurate I&O monitoring is crucial for all three reasons."", ""C"": ""Accurate I&O monitoring is crucial for all three reasons."", ""D"": ""Accurate I&O monitoring is crucial for all three reasons.""}",2,
16,A patient is experiencing significant anxiety related to a recent diagnosis.  Which nursing intervention demonstrates a holistic approach to care?,psychosocial-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Administering prescribed anxiolytics.""}, {""id"": ""B"", ""text"": ""Providing education about coping mechanisms.""}, {""id"": ""C"", ""text"": ""Facilitating communication with family and support systems.""}, {""id"": ""D"", ""text"": ""All of the above.""}]","""D""","A holistic approach involves addressing the patient's physical, emotional, and social needs.","{""A"": ""A holistic approach involves addressing the patient's physical, emotional, and social needs."", ""B"": ""A holistic approach involves addressing the patient's physical, emotional, and social needs."", ""C"": ""A holistic approach involves addressing the patient's physical, emotional, and social needs."", ""D"": ""A holistic approach involves addressing the patient's physical, emotional, and social needs.""}",3,
17,The nurse should use which of the following devices to prevent falls in a confused patient?,safe-and-effective-care,,multiple-choice,"[{""id"": ""A"", ""text"": ""Bed rails""}, {""id"": ""B"", ""text"": ""Wheelchair""}, {""id"": ""C"", ""text"": ""Gait belt""}, {""id"": ""D"", ""text"": ""All of the above""}]","""D""",All are appropriate depending on the patient's needs and mobility status.,"{""A"": ""All are appropriate depending on the patient's needs and mobility status."", ""B"": ""All are appropriate depending on the patient's needs and mobility status."", ""C"": ""All are appropriate depending on the patient's needs and mobility status."", ""D"": ""All are appropriate depending on the patient's needs and mobility status.""}",1,
18,Which task can a nurse safely delegate to a certified nursing assistant (CNA)?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Administering medications""}, {""id"": ""B"", ""text"": ""Assessing a patient's pain level""}, {""id"": ""C"", ""text"": ""Taking vital signs""}, {""id"": ""D"", ""text"": ""Changing a sterile dressing""}]","""C""","CNAs can take vital signs; medication administration, pain assessment, and sterile dressing changes require nursing judgment and skills.","{""A"": ""CNAs can take vital signs; medication administration, pain assessment, and sterile dressing changes require nursing judgment and skills."", ""B"": ""CNAs can take vital signs; medication administration, pain assessment, and sterile dressing changes require nursing judgment and skills."", ""C"": ""CNAs can take vital signs; medication administration, pain assessment, and sterile dressing changes require nursing judgment and skills."", ""D"": ""CNAs can take vital signs; medication administration, pain assessment, and sterile dressing changes require nursing judgment and skills.""}",2,
19,A patient refuses a necessary treatment.  What is the nurse's ethical responsibility?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Convince the patient to receive the treatment.""}, {""id"": ""B"", ""text"": ""Respect the patient's autonomy and document the refusal.""}, {""id"": ""C"", ""text"": ""Contact the physician to override the patient’s decision.""}, {""id"": ""D"", ""text"": ""Tell the patient they must receive the treatment.""}]","""B""",Respecting patient autonomy is paramount.,"{""A"": ""Respecting patient autonomy is paramount."", ""B"": ""Respecting patient autonomy is paramount."", ""C"": ""Respecting patient autonomy is paramount."", ""D"": ""Respecting patient autonomy is paramount.""}",3,
20,A nurse observes a colleague making a medication error.  What is the appropriate action?,safe-and-effective-care,,multiple-choice,"[{""id"": ""A"", ""text"": ""Ignore it to avoid conflict.""}, {""id"": ""B"", ""text"": ""Report the error to the appropriate supervisor.""}, {""id"": ""C"", ""text"": ""Confront the colleague directly in front of other staff.""}, {""id"": ""D"", ""text"": ""Wait until the end of the shift to report the error privately.""}]","""B""",Reporting the error promptly and through proper channels ensures patient safety.,"{""A"": ""Reporting the error promptly and through proper channels ensures patient safety."", ""B"": ""Reporting the error promptly and through proper channels ensures patient safety."", ""C"": ""Reporting the error promptly and through proper channels ensures patient safety."", ""D"": ""Reporting the error promptly and through proper channels ensures patient safety.""}",2,
104,A patient's EKG shows a prolonged PR interval. What rhythm is suspected?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Atrial fibrillation.""}, {""id"": ""B"", ""text"": ""Ventricular tachycardia.""}, {""id"": ""C"", ""text"": ""First-degree heart block.""}, {""id"": ""D"", ""text"": ""Second-degree heart block, Type II.""}]","""C""",A prolonged PR interval is characteristic of first-degree heart block.,"{""A"": ""A prolonged PR interval is characteristic of first-degree heart block."", ""B"": ""A prolonged PR interval is characteristic of first-degree heart block."", ""C"": ""A prolonged PR interval is characteristic of first-degree heart block."", ""D"": ""A prolonged PR interval is characteristic of first-degree heart block.""}",3,
21,"Following the administration of a newly prescribed beta-blocker, which assessment finding requires immediate intervention?",physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Blood pressure of 110/70 mmHg""}, {""id"": ""B"", ""text"": ""Heart rate of 52 bpm""}, {""id"": ""C"", ""text"": ""Report of mild dizziness""}, {""id"": ""D"", ""text"": ""Slight decrease in urine output""}]","""B""","A heart rate of 52 bpm is bradycardia, a potentially serious side effect of beta-blockers that requires immediate intervention.  The other options represent common, less serious side effects.","{""A"": ""A heart rate of 52 bpm is bradycardia, a potentially serious side effect of beta-blockers that requires immediate intervention.  The other options represent common, less serious side effects."", ""B"": ""A heart rate of 52 bpm is bradycardia, a potentially serious side effect of beta-blockers that requires immediate intervention.  The other options represent common, less serious side effects."", ""C"": ""A heart rate of 52 bpm is bradycardia, a potentially serious side effect of beta-blockers that requires immediate intervention.  The other options represent common, less serious side effects."", ""D"": ""A heart rate of 52 bpm is bradycardia, a potentially serious side effect of beta-blockers that requires immediate intervention.  The other options represent common, less serious side effects.""}",2,
22,Standard precautions mandate the use of which protective equipment when caring for a patient with suspected influenza?,physiological-integrity,,multiple-select,"[{""id"": ""A"", ""text"": ""Gloves""}, {""id"": ""B"", ""text"": ""Gown""}, {""id"": ""C"", ""text"": ""N95 respirator""}, {""id"": ""D"", ""text"": ""Eye protection""}, {""id"": ""E"", ""text"": ""Shoe covers""}]","[""A"", ""D""]","Standard precautions always include gloves and eye protection when there's a risk of body fluid exposure.  A gown might be necessary depending on the level of anticipated contact with bodily fluids, but it's not always required for influenza.  An N95 respirator is needed for airborne precautions, which would be implemented in addition to standard precautions for patients with confirmed airborne diseases. Shoe covers are generally not part of standard precautions.","{""A"": ""Standard precautions always include gloves and eye protection when there's a risk of body fluid exposure.  A gown might be necessary depending on the level of anticipated contact with bodily fluids, but it's not always required for influenza.  An N95 respirator is needed for airborne precautions, which would be implemented in addition to standard precautions for patients with confirmed airborne diseases. Shoe covers are generally not part of standard precautions."", ""B"": ""Standard precautions always include gloves and eye protection when there's a risk of body fluid exposure.  A gown might be necessary depending on the level of anticipated contact with bodily fluids, but it's not always required for influenza.  An N95 respirator is needed for airborne precautions, which would be implemented in addition to standard precautions for patients with confirmed airborne diseases. Shoe covers are generally not part of standard precautions."", ""C"": ""Standard precautions always include gloves and eye protection when there's a risk of body fluid exposure.  A gown might be necessary depending on the level of anticipated contact with bodily fluids, but it's not always required for influenza.  An N95 respirator is needed for airborne precautions, which would be implemented in addition to standard precautions for patients with confirmed airborne diseases. Shoe covers are generally not part of standard precautions."", ""D"": ""Standard precautions always include gloves and eye protection when there's a risk of body fluid exposure.  A gown might be necessary depending on the level of anticipated contact with bodily fluids, but it's not always required for influenza.  An N95 respirator is needed for airborne precautions, which would be implemented in addition to standard precautions for patients with confirmed airborne diseases. Shoe covers are generally not part of standard precautions."", ""E"": ""Standard precautions always include gloves and eye protection when there's a risk of body fluid exposure.  A gown might be necessary depending on the level of anticipated contact with bodily fluids, but it's not always required for influenza.  An N95 respirator is needed for airborne precautions, which would be implemented in addition to standard precautions for patients with confirmed airborne diseases. Shoe covers are generally not part of standard precautions.""}",1,
23,A patient newly diagnosed with diabetes mellitus needs education on blood glucose monitoring. What should be taught first?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""How to interpret the results""}, {""id"": ""B"", ""text"": ""How to perform the finger stick""}, {""id"": ""C"", ""text"": ""What to do if the glucose is high""}, {""id"": ""D"", ""text"": ""The importance of regular monitoring""}]","""B""","Before a patient can interpret results or manage high glucose, they must first learn the basic procedure of performing the finger stick test.","{""A"": ""Before a patient can interpret results or manage high glucose, they must first learn the basic procedure of performing the finger stick test."", ""B"": ""Before a patient can interpret results or manage high glucose, they must first learn the basic procedure of performing the finger stick test."", ""C"": ""Before a patient can interpret results or manage high glucose, they must first learn the basic procedure of performing the finger stick test."", ""D"": ""Before a patient can interpret results or manage high glucose, they must first learn the basic procedure of performing the finger stick test.""}",1,
24,A nurse is caring for four patients. Which patient requires the most immediate attention?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Patient with stable angina reporting chest pain""}, {""id"": ""B"", ""text"": ""Patient post-op day 2 with a slightly elevated temperature""}, {""id"": ""C"", ""text"": ""Patient with a new onset of shortness of breath and wheezing""}, {""id"": ""D"", ""text"": ""Patient with a urinary tract infection complaining of burning on urination""}]","""C""",Shortness of breath and wheezing indicate a potential respiratory emergency requiring immediate intervention.,"{""A"": ""Shortness of breath and wheezing indicate a potential respiratory emergency requiring immediate intervention."", ""B"": ""Shortness of breath and wheezing indicate a potential respiratory emergency requiring immediate intervention."", ""C"": ""Shortness of breath and wheezing indicate a potential respiratory emergency requiring immediate intervention."", ""D"": ""Shortness of breath and wheezing indicate a potential respiratory emergency requiring immediate intervention.""}",3,
25,An LPN/LVN is assigned to a patient with a new ileostomy.  Which task is appropriate to delegate?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Assessing the stoma's appearance and output""}, {""id"": ""B"", ""text"": ""Teaching the patient about stoma care""}, {""id"": ""C"", ""text"": ""Measuring the stoma's size and documenting findings""}, {""id"": ""D"", ""text"": ""Changing the ostomy pouch""}]","""C""","Measuring and documenting are tasks within the scope of an LPN/LVN.  Assessment, teaching, and complex procedures like pouch changes require the RN's expertise.","{""A"": ""Measuring and documenting are tasks within the scope of an LPN/LVN.  Assessment, teaching, and complex procedures like pouch changes require the RN's expertise."", ""B"": ""Measuring and documenting are tasks within the scope of an LPN/LVN.  Assessment, teaching, and complex procedures like pouch changes require the RN's expertise."", ""C"": ""Measuring and documenting are tasks within the scope of an LPN/LVN.  Assessment, teaching, and complex procedures like pouch changes require the RN's expertise."", ""D"": ""Measuring and documenting are tasks within the scope of an LPN/LVN.  Assessment, teaching, and complex procedures like pouch changes require the RN's expertise.""}",2,
26,"A patient's ECG shows absent P waves, irregular R-R intervals, and wide QRS complexes. This rhythm is consistent with:",physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Sinus tachycardia""}, {""id"": ""B"", ""text"": ""Atrial fibrillation""}, {""id"": ""C"", ""text"": ""Ventricular fibrillation""}, {""id"": ""D"", ""text"": ""Atrioventricular block""}]","""B""","The description indicates atrial fibrillation, characterized by absent P waves, irregular R-R intervals, and often (but not always) wide QRS complexes.","{""A"": ""The description indicates atrial fibrillation, characterized by absent P waves, irregular R-R intervals, and often (but not always) wide QRS complexes."", ""B"": ""The description indicates atrial fibrillation, characterized by absent P waves, irregular R-R intervals, and often (but not always) wide QRS complexes."", ""C"": ""The description indicates atrial fibrillation, characterized by absent P waves, irregular R-R intervals, and often (but not always) wide QRS complexes."", ""D"": ""The description indicates atrial fibrillation, characterized by absent P waves, irregular R-R intervals, and often (but not always) wide QRS complexes.""}",3,
27,A patient collapses in the hallway and is unresponsive. What is the first action?,physiological-integrity,,multiple-choice,"[{""id"": ""A"", ""text"": ""Initiate CPR""}, {""id"": ""B"", ""text"": ""Assess for breathing and pulse""}, {""id"": ""C"", ""text"": ""Call for help (Code Blue)""}, {""id"": ""D"", ""text"": ""Check for a medical alert bracelet""}]","""C""","While assessment is important, immediately calling for a Code Blue is critical to initiate a rapid response team and ensure timely advanced care.","{""A"": ""While assessment is important, immediately calling for a Code Blue is critical to initiate a rapid response team and ensure timely advanced care."", ""B"": ""While assessment is important, immediately calling for a Code Blue is critical to initiate a rapid response team and ensure timely advanced care."", ""C"": ""While assessment is important, immediately calling for a Code Blue is critical to initiate a rapid response team and ensure timely advanced care."", ""D"": ""While assessment is important, immediately calling for a Code Blue is critical to initiate a rapid response team and ensure timely advanced care.""}",2,
